item,item_number,parameter_type,parameter_threshold,parameter_T,source,estimate,estimate.stdyx,threshold,T,new.to.itembank
Q100,100,factor_loading,g,g,1,2.326,0.789,NA,NA,no
Q100,100,threshold,thres1,T1,1,-2.19,-0.742,1,1,no
Q100,100,threshold,thres2,T2,1,-1.836,-0.623,2,2,no
Q100,100,threshold,thres3,T3,1,-1.269,-0.43,3,3,no
Q100,100,threshold,thres4,T4,1,-0.633,-0.215,4,4,no
Q100,100,threshold,thres5,T5,1,-0.102,-0.035,5,5,no
Q100,100,threshold,thres6,T6,1,0.619,0.21,6,6,no
Q100,100,threshold,thres7,T7,1,1.626,0.551,7,7,no
Q100,100,threshold,thres8,T8,1,3.555,1.205,8,8,no
Q100,100,threshold,thres9,T9,1,6.694,2.269,9,9,no
Q101,101,factor_loading,g,g,1,1.536,0.646,NA,NA,no
Q101,101,threshold,thres1,T1,1,-3.99,-1.679,1,1,no
Q101,101,threshold,thres2,T2,1,-3.59,-1.511,2,2,no
Q101,101,threshold,thres3,T3,1,-3.243,-1.365,3,3,no
Q101,101,threshold,thres4,T4,1,-2.612,-1.099,4,4,no
Q101,101,threshold,thres5,T5,1,-2.035,-0.856,5,5,no
Q101,101,threshold,thres6,T6,1,-1.31,-0.551,6,6,no
Q101,101,threshold,thres7,T7,1,-0.121,-0.051,7,7,no
Q101,101,threshold,thres8,T8,1,2.043,0.86,8,8,no
Q101,101,threshold,thres9,T9,1,4.164,1.752,9,9,no
Q101,101,threshold,thres9,T10,7,5.523,2.398,9,10,no
Q102,102,factor_loading,g,g,1,1.446,0.623,NA,NA,no
Q102,102,threshold,thres1,T1,1,-8.157,-3.516,1,1,no
Q102,102,threshold,thres2,T2,1,-5.895,-2.541,2,2,no
Q102,102,threshold,thres3,T3,1,-4.341,-1.872,3,3,no
Q102,102,threshold,thres4,T4,1,-2.081,-0.897,4,4,no
Q102,102,threshold,thres4,T5,1,0.167,0.072,4,5,no
Q102,102,threshold,thres6,T6,1,1.171,0.505,6,6,no
Q102,102,threshold,thres7,T7,1,2.869,1.237,7,7,no
Q102,102,threshold,thres8,T8,1,5.295,2.283,8,8,no
Q103,103,factor_loading,g,g,1,1.834,0.711,NA,NA,no
Q103,103,threshold,thres1,T1,1,-4.801,-1.861,1,1,no
Q103,103,threshold,thres2,T2,1,-3.302,-1.28,2,2,no
Q103,103,threshold,thres3,T3,1,-2.115,-0.82,3,3,no
Q103,103,threshold,thres4,T4,1,0.213,0.082,4,4,no
Q103,103,threshold,thres5,T5,1,1.6,0.62,5,5,no
Q103,103,threshold,thres6,T6,1,2.626,1.018,6,6,no
Q103,103,threshold,thres7,T7,1,4.596,1.781,7,7,no
Q103,103,threshold,thres8,T8,1,5.387,2.088,8,8,no
Q103,103,threshold,thres9,T9,3,8.307,3.523,9,9,no
Q105,105,factor_loading,g,g,1,1.649,0.673,NA,NA,no
Q105,105,threshold,thres1,T1,1,-7.216,-2.944,1,1,no
Q105,105,threshold,thres2,T2,1,-4.342,-1.771,2,2,no
Q105,105,threshold,thres3,T3,1,-2.085,-0.851,3,3,no
Q105,105,threshold,thres4,T4,1,-0.685,-0.279,4,4,no
Q105,105,threshold,thres5,T5,1,1.015,0.414,5,5,no
Q105,105,threshold,thres6,T6,1,2.715,1.107,6,6,no
Q105,105,threshold,thres7,T7,1,3.901,1.591,7,7,no
Q105,105,threshold,thres8,T8,1,5.625,2.294,8,8,no
Q106,106,factor_loading,g,g,1,1.616,0.665,NA,NA,no
Q106,106,threshold,thres1,T1,1,-6.543,-2.694,1,1,no
Q106,106,threshold,thres2,T2,1,-5.034,-2.073,2,2,no
Q106,106,threshold,thres3,T3,1,-3.426,-1.41,3,3,no
Q106,106,threshold,thres4,T4,1,-2.145,-0.883,4,4,no
Q106,106,threshold,thres5,T5,1,-0.871,-0.359,5,5,no
Q106,106,threshold,thres6,T6,1,0.46,0.189,6,6,no
Q106,106,threshold,thres7,T7,1,1.862,0.766,7,7,no
Q106,106,threshold,thres8,T8,1,4.031,1.66,8,8,no
Q109,109,factor_loading,g,g,1,1.085,0.513,NA,NA,no
Q109,109,threshold,thres1,T1,1,-3.226,-1.526,1,1,no
Q109,109,threshold,thres2,T2,1,-2.361,-1.117,2,2,no
Q109,109,threshold,thres3,T3,1,-1.613,-0.763,3,3,no
Q109,109,threshold,thres4,T4,1,0.313,0.148,4,4,no
Q109,109,threshold,thres5,T5,1,3.568,1.688,5,5,no
Q109,109,threshold,thres6,T6,1,5.469,2.588,6,6,no
Q109,109,threshold,thres7,T7,1,8.144,3.853,7,7,no
Q109,109,threshold,thres8,T8,1,9.528,4.508,8,8,no
Q110,110,factor_loading,g,g,1,2.928,0.85,NA,NA,no
Q110,110,threshold,thres1,T1,1,-7.205,-2.092,1,1,no
Q110,110,threshold,thres2,T2,1,-4.769,-1.385,2,2,no
Q110,110,threshold,thres3,T3,1,-2.5,-0.726,3,3,no
Q110,110,threshold,thres4,T4,1,-0.692,-0.201,4,4,no
Q110,110,threshold,thres5,T5,1,1.035,0.301,5,5,no
Q110,110,threshold,thres6,T6,1,2.568,0.746,6,6,no
Q110,110,threshold,thres7,T7,1,4.404,1.279,7,7,no
Q110,110,threshold,thres8,T8,1,7.248,2.104,8,8,no
Q115,115,factor_loading,g,g,1,1.434,0.62,NA,NA,no
Q115,115,threshold,thres1,T1,1,-7.293,-3.154,1,1,no
Q115,115,threshold,thres2,T2,1,-6.77,-2.928,2,2,no
Q115,115,threshold,thres3,T3,1,-6.01,-2.599,3,3,no
Q115,115,threshold,thres4,T4,1,-5.53,-2.392,4,4,no
Q115,115,threshold,thres5,T5,1,-4.529,-1.959,5,5,no
Q115,115,threshold,thres6,T6,1,-3.52,-1.522,6,6,no
Q115,115,threshold,thres7,T7,1,-2.898,-1.253,7,7,no
Q115,115,threshold,thres8,T8,1,-1.635,-0.707,8,8,no
Q115,115,threshold,thres9,T9,1,1.018,0.44,9,9,no
Q118,118,factor_loading,g,g,1,2.553,0.815,NA,NA,no
Q118,118,threshold,thres1,T1,1,-6.387,-2.039,1,1,no
Q118,118,threshold,thres2,T2,1,-4.293,-1.371,2,2,no
Q118,118,threshold,thres3,T3,1,-1.774,-0.567,3,3,no
Q118,118,threshold,thres4,T4,1,-0.392,-0.125,4,4,no
Q118,118,threshold,thres5,T5,1,1.376,0.439,5,5,no
Q118,118,threshold,thres6,T6,1,3.171,1.013,6,6,no
Q118,118,threshold,thres7,T7,1,5.122,1.636,7,7,no
Q118,118,threshold,thres8,T8,1,6.529,2.085,8,8,no
Q119,119,factor_loading,g,g,1,2.26,0.78,NA,NA,no
Q119,119,threshold,thres1,T1,1,-5.857,-2.021,1,1,no
Q119,119,threshold,thres2,T2,1,-3.491,-1.205,2,2,no
Q119,119,threshold,thres3,T3,1,-1.973,-0.681,3,3,no
Q119,119,threshold,thres4,T4,1,0.008,0.003,4,4,no
Q119,119,threshold,thres5,T5,1,2.013,0.695,5,5,no
Q119,119,threshold,thres6,T6,1,3.53,1.218,6,6,no
Q119,119,threshold,thres7,T7,1,4.484,1.547,7,7,no
Q119,119,threshold,thres8,T8,1,5.18,1.787,8,8,no
Q120,120,factor_loading,g,g,1,2.466,0.806,NA,NA,no
Q120,120,threshold,thres1,T1,1,-5.254,-1.716,1,1,no
Q120,120,threshold,thres2,T2,1,-3.538,-1.156,2,2,no
Q120,120,threshold,thres3,T3,1,-2.081,-0.68,3,3,no
Q120,120,threshold,thres4,T4,1,0.279,0.091,4,4,no
Q120,120,threshold,thres5,T5,1,1.428,0.467,5,5,no
Q120,120,threshold,thres6,T6,1,2.598,0.849,6,6,no
Q120,120,threshold,thres7,T7,1,3.959,1.293,7,7,no
Q120,120,threshold,thres8,T8,1,4.93,1.61,8,8,no
Q225,225,factor_loading,g,g,2,1.68,0.567,NA,NA,no
Q225,225,threshold,thres1,T1,2,-2.28,-1.035,1,1,no
Q225,225,threshold,thres2,T2,2,-0.547,-0.248,2,2,no
Q225,225,threshold,thres3,T3,2,1.25,0.568,3,3,no
Q225,225,threshold,thres4,T4,2,2.818,1.28,4,4,no
Q225,225,threshold,thres5,T5,2,4.626,2.101,5,5,no
Q225,225,threshold,thres6,T6,2,6.815,3.094,6,6,no
Q225,225,threshold,thres7,T7,2,8.458,3.841,7,7,no
Q225,225,threshold,thres8,T77,5,8.876,3.944,8,77,no
Q225,225,threshold,thres9,T78,5,9.582,4.258,9,78,no
Q226,226,factor_loading,g,g,2,1.516,0.528,NA,NA,no
Q226,226,threshold,thres1,T1,2,-1.598,-0.748,1,1,no
Q226,226,threshold,thres2,T2,2,-0.507,-0.237,2,2,no
Q226,226,threshold,thres3,T3,2,0.703,0.329,3,3,no
Q226,226,threshold,thres4,T4,2,1.653,0.774,4,4,no
Q226,226,threshold,thres5,T5,2,2.822,1.322,5,5,no
Q226,226,threshold,thres6,T6,2,4.509,2.112,6,6,no
Q226,226,threshold,thres7,T7,2,6.788,3.179,7,7,no
Q226,226,threshold,thres8,T8,3,8.362,3.8,8,8,no
Q228,228,factor_loading,g,g,2,0.896,0.345,NA,NA,no
Q228,228,threshold,thres1,T1,2,-2.373,-1.228,1,1,no
Q228,228,threshold,thres2,T2,2,-1.527,-0.79,2,2,no
Q228,228,threshold,thres3,T3,2,-0.487,-0.252,3,3,no
Q228,228,threshold,thres4,T4,2,0.88,0.456,4,4,no
Q228,228,threshold,thres5,T5,2,3.243,1.678,5,5,no
Q228,228,threshold,thres6,T6,2,5.326,2.757,6,6,no
Q228,228,threshold,thres7,T7,2,6.182,3.2,7,7,no
Q242,242,factor_loading,g,g,2,2.432,0.706,NA,NA,no
Q242,242,threshold,thres1,T1,2,-2.098,-0.819,1,1,no
Q242,242,threshold,thres2,T2,2,0.264,0.103,2,2,no
Q242,242,threshold,thres3,T3,2,2.01,0.785,3,3,no
Q242,242,threshold,thres4,T4,2,4.065,1.587,4,4,no
Q242,242,threshold,thres5,T5,2,6.35,2.48,5,5,no
Q242,242,threshold,thres6,T6,2,8.382,3.273,6,6,no
Q242,242,threshold,thres7,T7,2,9.803,3.828,7,7,no
Q266,266,factor_loading,g,g,2,1.821,0.598,NA,NA,no
Q266,266,threshold,thres1,T1,2,-3.323,-1.468,1,1,no
Q266,266,threshold,thres2,T2,2,-1.304,-0.576,2,2,no
Q266,266,threshold,thres3,T3,2,0.385,0.17,3,3,no
Q266,266,threshold,thres4,T4,2,1.801,0.796,4,4,no
Q266,266,threshold,thres5,T5,2,2.905,1.284,5,5,no
Q266,266,threshold,thres6,T6,2,4.203,1.857,6,6,no
Q266,266,threshold,thres7,T7,2,5.721,2.528,7,7,no
Q266,266,threshold,thres8,T8,3,10.715,4.466,8,8,no
Q283,283,factor_loading,g,g,2,2.656,0.736,NA,NA,no
Q283,283,threshold,thres1,T1,2,-1.305,-0.487,1,1,no
Q283,283,threshold,thres2,T2,2,0.122,0.045,2,2,no
Q283,283,threshold,thres3,T3,2,1.173,0.437,3,3,no
Q283,283,threshold,thres4,T4,2,2.341,0.873,4,4,no
Q283,283,threshold,thres5,T5,2,3.391,1.265,5,5,no
Q283,283,threshold,thres6,T6,2,4.306,1.606,6,6,no
Q283,283,threshold,thres7,T7,2,5.34,1.992,7,7,no
Q283,283,threshold,thres8,T8,2,6.365,2.374,8,8,no
Q283,283,threshold,thres9,T9,2,7.17,2.675,9,9,no
Q284,284,factor_loading,g,g,2,2.924,0.768,NA,NA,no
Q284,284,threshold,thres1,T1,2,-1.584,-0.56,1,1,no
Q284,284,threshold,thres2,T2,2,-0.14,-0.05,2,2,no
Q284,284,threshold,thres3,T3,2,1.165,0.412,3,3,no
Q284,284,threshold,thres4,T4,2,2.415,0.853,4,4,no
Q284,284,threshold,thres5,T5,2,3.541,1.251,5,5,no
Q284,284,threshold,thres6,T6,2,4.492,1.587,6,6,no
Q284,284,threshold,thres7,T7,2,5.408,1.91,7,7,no
Q284,284,threshold,thres8,T8,2,6.774,2.393,8,8,no
Q284,284,threshold,thres9,T9,2,7.989,2.822,9,9,no
Q532,532,factor_loading,g,g,4,0.574,0.293,NA,NA,no
Q532,532,threshold,thres1,T1,4,-1.488,-0.784,1,1,no
Q532,532,threshold,thres2,T2,4,-0.601,-0.317,2,2,no
Q532,532,threshold,thres3,T3,4,-0.105,-0.055,3,3,no
Q532,532,threshold,thres4,T4,4,0.396,0.209,4,4,no
Q532,532,threshold,thres5,T5,4,0.841,0.443,5,5,no
Q532,532,threshold,thres6,T6,4,1.287,0.678,6,6,no
Q532,532,threshold,thres7,T7,4,1.724,0.909,7,7,no
Q532,532,threshold,thres8,T8,4,2.234,1.177,8,8,no
Q532,532,threshold,thres9,T9,4,3.085,1.626,9,9,no
Q534,534,factor_loading,g,g,4,1.557,0.639,NA,NA,no
Q534,534,threshold,thres1,T1,4,-0.637,-0.27,1,1,no
Q534,534,threshold,thres2,T2,4,0.483,0.205,2,2,no
Q534,534,threshold,thres3,T3,4,1.231,0.522,3,3,no
Q534,534,threshold,thres4,T4,4,1.804,0.765,4,4,no
Q534,534,threshold,thres5,T5,4,2.333,0.989,5,5,no
Q534,534,threshold,thres6,T6,4,2.867,1.216,6,6,no
Q534,534,threshold,thres7,T7,4,3.355,1.422,7,7,no
Q534,534,threshold,thres8,T8,4,4.034,1.711,8,8,no
Q534,534,threshold,thres9,T9,4,4.998,2.119,9,9,no
Q587,587,factor_loading,g,g,4,1.174,0.531,NA,NA,no
Q587,587,threshold,thres1,T1,4,-1.592,-0.744,1,1,no
Q587,587,threshold,thres2,T2,4,-0.346,-0.162,2,2,no
Q587,587,threshold,thres3,T3,4,0.059,0.027,3,3,no
Q587,587,threshold,thres4,T4,4,1.161,0.543,4,4,no
Q587,587,threshold,thres5,T5,4,2.049,0.958,5,5,no
Q587,587,threshold,thres6,T6,4,2.374,1.109,6,6,no
Q587,587,threshold,thres7,T7,4,3.226,1.507,7,7,no
Q587,587,threshold,thres8,T8,4,3.72,1.738,8,8,no
Q587,587,threshold,thres9,T9,4,4.597,2.148,9,9,no
